duid,station_name,region,dispatch_type,fuel_source,technology,fueltech,reg_cap_mw
-,Victoria Mill,QLD1,Generating Unit,Bagasse,Steam Super Critical,bioenergy,-
ADPBA1,Adelaide Desalination Plant,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,7.76
ADPMH1,Adelaide Desalination Plant,SA1,Generating Unit,Water,Run of River,hydro,1.44
ADPPV1,Adelaide Desalination Plant,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,24.75
ADPPV2,Adelaide Desalination Plant,SA1,Generating Unit,Solar,Photovoltaic Flat panel,solar,0.2
ADPPV3,Adelaide Desalination Plant,SA1,Generating Unit,Solar,Photovoltaic Flat panel,solar,0.02
AGLHAL,Hallett Power Station,SA1,Generating Unit,Natural Gas / Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,217
AGLSOM,Somerton Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,170
ALDGASF1,Aldoga Solar Farm,QLD1,Generating Unit,Solar,Photovoltalic Tracking Flat Panel,solar,535.213
ANGAST1,Angaston Power Station,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,50
APPIN,Appin Power Plant,NSW1,Generating Unit,Waste Coal Mine Gas,Spark Ignition Reciprocating Engine,coal_black,55.6
ARWF1,Ararat Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,241.59
AVLSF1,Avonlie Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,254.1
BAKING1,Baking Board Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,17.5
BALB1,Ballarat Battery Energy Storage System,VIC1,Bidirectional Unit,Grid,Battery,battery,30
BALDHWF1,Bald Hills Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,106.6
BANGOWF1,Bango 973 Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,159
BANGOWF2,Bango 999 Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,84.8
BANN1,Bannerton Solar Park,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,100
BAPS,Banimboola Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,12.85
BARCALDN,Barcaldine Power Station,QLD1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,37
BARCSF1,Barcaldine Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,20
BARKIPS1,Barker Inlet Power Station,SA1,Generating Unit,Natural Gas,Compression Reciprocating Engine,gas_recip,211
BARRON-1,Barron Gorge Power Station,QLD1,Generating Unit,Water,Run of River,hydro,30
BARRON-2,Barron Gorge Power Station,QLD1,Generating Unit,Water,Run of River,hydro,30
BASTYAN,Bastyan Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,79.9
BBATTERY1,Bouldercombe Battery Project,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,67
BBTHREE1,Bell Bay Three Power Station,TAS1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,35
BBTHREE2,Bell Bay Three Power Station,TAS1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,35
BBTHREE3,Bell Bay Three Power Station,TAS1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,35
BDL01,Bairnsdale Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,46
BDL02,Bairnsdale Power Station,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,46
BDONGHYD,Burrendong Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,19
BERYLSF1,Beryl Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,98
BHB1,Broken Hill Battery Energy Storage System,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,66
BLNKTAS,Basslink HVDC Link,TAS1,Generating Unit,,,other,478
BLNKVIC,Basslink HVDC Link,VIC1,Generating Unit,,,other,594
BLOWERNG,Blowering Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,80
BLUEGSF1,Blue Grass Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,183
BLUFF1,The Bluff Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,52.5
BLYTHB1,Blyth Battery Energy Storage System,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,281
BNGSF1,Bungala One Solar Farm,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,135
BNGSF2,Bungala Two Solar Farm,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,135
BOCORWF1,Boco Rock Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,113.18
BODWF1,Bodangora Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,113.19
BOLIVAR1,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Sewerage / Waste Water,Pump Storage,hydro,9.9
BOLIVPS1,Bolivar Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,128
BOMENSF1,Bomen Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,121
BOWWBA1,Bolivar Waste Water Treatment Plant,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,3
BOWWDG1,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,0.66
BOWWPV1,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,8.25
BPLANDF1,Browns Plains Landfill Gas PS,QLD1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,2
BRAEMAR1,Braemar Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,168
BRAEMAR2,Braemar Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,168
BRAEMAR3,Braemar Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,168
BRAEMAR5,Braemar 2 Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,173
BRAEMAR6,Braemar 2 Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,173
BRAEMAR7,Braemar 2 Power Station,QLD1,Generating Unit,Coal Seam Methane,Open Cycle Gas turbines (OCGT),coal_black,173
BRDDBES1,Broadsound Energy Park,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,240
BRDDSF01,Broadsound Energy Park,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,368
BRNDBES1,Brendale BESS,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,215
BROKENH1,Broken Hill Solar Plant,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,53.76
BROOKLYN,Brooklyn LFG U1-3,VIC1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,2.83
